A-bomb	'eIbPm	атомная бомба		
a. m.		до полудня: 9 am девять часов утра		
aback	q'bxk		to be taken aback	опешить, смутиться
abandon	q'bxndqn	покидать; оставлять; отказываться; оставлять		
abandoned	q'bxndqnd	покинутый; заброшенный	an abandoned baby; an abandoned house	подкидыш; заброшенный дом
abate	q'beIt	уменьшать; ослаблять; затихать		
abbey	'xbI	аббатство		
abbreviate	q'bri:vIeIt	сокращать	to abbreviate a word to its initial letter	сокращать слово до первой буквы
abbreviation	q.bri:vI'eISn	сокращение; аббревиатура		
ABC	.eIbi:'si:	алфавит; азбука; основы знаний; элементарные сведения	as easy/simple as ABC; the ABC of chemistry	просто, как дважды два; основы химии
abdicate	'xbdIkeIt	отрекаться	to abdicate the throne	отречься от престола
abdomen	'xbdqmen	брюшная полость; живот		
abdominal	xb'dPmInl	брюшной	abdominal muscles; an abdominal operation; abdominal pain	мышцы живота; полостная операция; боль в области живота
abduct	qb'dAkt	похищать; увозить	to abduct a child/a woman	похищать ребёнка/женщину
abduction	xb'dAkSn	похищение		
aberration	.xbq'reISn	отклонение от нормы; аберрация	a mental aberration; it was an aberration on my part	помрачение ума; не знаю, что на меня нашло
abet	q'bet		to aid and abet  in a crime	содействовать кому-л. в совершении преступления
abhorrent	qb'hPrqnt	ненавистный; отвратительный		
abide	q'baId	терпеть; выносить	I can't abide dogs	я терпеть не могу собак
to abide by		оставаться верным; придерживаться	to abide by one's promises; to abide by the rules	выполнять обещания; придерживаться правил
ability	q'bIlqtI	способности; умение		
abject	'xbdZekt	жалкий; вызывающий презрение	an abject excuse; abject behaviour; abject poverty	
ablaze	q'bleIz	в огне; пылающий; сверкающий		
able	'eIbl	умелый; знающий; способный	to be able to do; an able lawyer; an able student	
ably	'eIblI	умело; искусно	to do  very ably; he controlled the meeting very ably	делать что-л. умело; он умело направлял ход собрания
abnormal	xb'nO:ml	ненормальный; неестественный	an abnormal interest in; this child is abnormal	
aboard	q'bO:d	на борту; на борт		
abolish	q'bPlIS	упразднять; отменять		
abominable	q'bPmInqbl	ужасный; отвратительный; мерзкий		
aboriginal	.xbq'rIdZqnl	исконный; коренной; туземный	aboriginal inhabitants	коренные жители
abortion	q'bO:Sn	аборт	to get/to have an abortion; to do/to perform an abortion on	делать аборт; делать аборт кому-л.
abound	q'baǔnd			
about	q'baǔt	кругом; вокруг; приблизительно; примерно; о; об; по		
above	q'bAv	наверху; наверх; больше; выше; раньше; над; выше; в большей степени; выше		
above-mentioned	q.bAv'menSnd	вышеупомянутый	the above-mentioned facts	вышеупомянутые факты
abrasion	q'breIZn	снашивание; износ; ссадина	abrasion testing; multiple abrasions	испытание на износ; многочисленные ссадины
abrasive	q'breIsIv	обдирающий; шлифующий; резкий; грубый		
abreast	q'brest	в ряд; на одной линии; рядом		
abridge	q'brIdZ	сокращать	an abridged edition	сокращённое издание
abroad	q'brO:d	за границей; за границу		
abrupt	q'brApt	внезапный; неожиданный; резкий; грубоватый		
absence	'xbsqns	отсутствие		
absent	'xbsqnt	отсутствующий; отрешённый; рассеянный		
absent-minded	.xbsqnt'maIndId	рассеянный		
absolute	'xbsqlu:t	полный; неограниченный; абсолютный		
absolutely	'xbsqlu:tlI	совершенно; безусловно	absolutely impossible; to refuse absolutely	совершенно невозможно; наотрез отказаться
absorb	qb'sO:b	впитывать; поглощать; завладевать		
absorbing	qb'sO:bIN	увлекательный; занимательный	an absorbing subject	увлекательный предмет
absorption	qb'sO:pSn	абсорбация; поглощение; погружённость	absorption in thought; absorption in sport	глубокое раздумье; интенсивные занятия спортом
abstain	qb'steIn	воздерживаться	to abstain from voting/smoking/alcoholic drinks	
abstention	qb'stenSn	воздержание	abstention from voting	отказ от голосования
abstract	xb'strxkt	конспект; резюме; абстрактный; отвлечённый; извлекать; резюмировать		
abstraction	xb'strxkSn	рассеянность; абстракция	a look of abstraction	рассеянный взгляд
absurd	qb'sx:d	нелепый; абсурдный	an absurd suggestion; how absurd!; don't be absurd!	нелепое предположение; какой абсурд!; не говори глупостей!
absurdity	qb'sx:dqtI	абсурдность; нелепость	to be the height of absurdity	быть верхом нелепости
abundance	q'bAndqns	изобилие		
abundant	q'bAndqnt	обильный; изобилующий	an abundant harvest; abundant supplies of oil; abundant in	
abuse	q'bju:z	оскорбление; ругань; злоупотребление; злоупотреблять; оскорблять; ругать		
abysmal	q'bIzml	ужасный; вопиющий	abysmal weather; abysmal ignorance; an abysmal failure	ужасная погода; вопиющее невежество; полный провал
abyss	q'bIs	бездна; пропасть	a gaping/yawning abyss; an abyss of despair	зияющая пропасть; глубокое отчаяние
academic	.xkq'demIk	учёный; академический; учебный; чисто теоретический; отвлечённый		
academician	q.kxdq'mISn	академик		
academy	q'kxdqmI	академия; специальное учебное заведение		
accede	xk'si:d	соглашаться; присоединяться		
accelerate	qk'selqreIt	ускорять; прибавлять скорость		
acceleration	qk.selq'reISn	ускорение		
accelerator	qk'selqreItq	акселератор	to put one's foot down on the accelerator	нажать на педаль газа
accent	xk'sent	акцент; произношение; ударение; особое значение; выделять ударением; ставить знак ударения; выделять; подчёркивать		
accentuate	xk'sentjǔeIt	выделять; подчёркивать	the white collar accentuates the colour of her dress	белый воротник  оттеняет цвет её платья
accept	qk'sept	принимать; признавать; допускать		
acceptable	qk'septqbl	приемлемый; допустимый		
acceptance	qk'septqns	принятие; одобрение	to meet with/to find general/universal acceptance	получать всеобщее одобрение
access	'xkses	подход; доступ; проход		
accessary	qk'sesqrI	соучастник	an accessary to a crime	соучастник преступления
accessible	qk'sesqbl	доступный	accessible to the public; an accessible building	доступный широкой публике; здание с удобным подъездом к нему
accessory	qk'sesqrI	дополнение; аксессуары	the accessories of a woman's dress; fashion accessories	аксессуары к женскому платью; модные аксессуары
accident	'xksIdqnt	случай; случайность; несчастный случай; катастрофа		
accidental	.xksI'dentl	случайный	an accidental meeting	случайная встреча
acclaim	q'kleIm	восторженный приём; приветствовать; провозглашать		
acclimatize	q'klaImqtaIz	акклиматизировать		
accommodate	q'kPmqdeIt	предоставлять жильё; размещать; вмещать; создавать удобства; обеспечивать		
accommodation	q.kPmq'deISn	помещение; жильё; соглашение		
accompany	q'kAmpqnI	сопровождать; аккомпанировать		
accomplice	q'kAmplIs	сообщник; соучастник	an accomplice in/to a crime	соучастник преступления
accomplish	q'kAmplIS	успешно выполнять; совершать	to accomplish a task/a mission; to accomplish one's object	выполнить задание; достичь своей цели
accomplished	q'kAmplISt	достигший совершенства; искусный	an accomplished dancer/singer	превосходный/великолепный танцор/певец
accomplishment	q'kAmplISmqnt	мастерство; совершенство; достижение	a man of many accomplishments; to be a real accomplishment	
accord	q'kO:d	согласие; согласовываться; соответствовать		
accordance	q'kO:dqns	согласие; соответствие	in accordance with	в соответствии с чем-л.
according to	q'kO:dINtq	согласно		
accordingly	q'kO:dINlI	соответственно		
accost	q'kPst	приставать; заговаривать	a stranger accosted me in the street	ко мне на улице пристал незнакомый человек
account	q'kaǔnt	отчёт; доклад; счёт		
accountable	q'kaǔntqbl	ответственный		
accountant	q'kaǔntqnt	бухгалтер		
accredited	q'kredItId	полномочный; аккредитованный		
accumulate	q'kju:mjǔleIt	накапливать		
accumulation	q.kju:mjǔ'leISn	накопление		накопление денег/богатства; большая куча мусора
accumulator	q'kju:mjǔleItq	аккумулятор		
accuracy	'xkjǔrqsI	точность; правильность; аккуратность		
accurate	'xkjǔrqt	точный; правильный		
accuse	q'kju:z	обвинять	to accuse  of	обвинять кого-л. в чём-л.
accustom	q'kAstqm	приучать	to get/to become accustomed to; to accustom oneself to	привыкнуть к чему-л.; приучать себя к чему-л.
accustomed	q'kAstqmd	привычный; обычный		
ace	eIs	туз; профессионал высшего класса; ac; высшего класса; отличный	the ace of spades; to be an ace at; an ace pilot/skier	
ache	eIk	боль; болеть; сильно желать; страстно стремиться		
achieve	q'tSi:v	достигать; выполнять		
achievement	q'tSi:vmqnt	достижение		выдающиеся/научные достижения; недосягаемый
acid	'xsId	кислота; ЛСД; кислый; едкий		
acknowledge	qk'nPlIdZ	признавать; допускать; сознавать; выражать благодарность; быть благодарным; подтверждать; увидеть и узнать кого-л.		
acknowledgement	qk'nPlIdZmqnt	признательность; благодарность; подтверждение; признание		
acne	'xknI	угорь; прыщ	acne is common among teenagers	у подростков кожа часто покрыта прыщами
acoustic	q'ku:stIk	акустический		
acoustics	q'ku:stIks	акустика; акустические свойства помещения	the acoustics of the new concert hall are excellent	акустика в новом концертном зале прекрасная
acquaint	q'kweInt			
to acquaint with		ознакомить		
acquaintance	q'kweIntqns	знакомый; знакомство		
acquire	q'kwaIq	приобретать		
acquisition	.xkwI'zISn	приобретение	to make a valuable acquisition; the acquisition of knowledge	сделать ценное приобретение; приобретение знаний
acquisitive	q'kwIzItIv	склонный к приобретательству	he's got an acquisitive nature; to be very acquisitive	
acquit	q'kwIt	оправдывать	to acquit of all charges; to acquit  of a crime	
acre	'eIkq	акр		
acrid	'xkrId	едкий; острый		
acrimonious	.xkrI'mqǔnjqs	язвительный		
acrobat	'xkrqbxt	акробат		
acrobatic	.xkrqǔ'bxtIk	акробатический		
acrobatics	.xkrqǔ'bxtIks	акробатика	to perform acrobatics	выполнять акробатические упражнения
across	q'krPs	поперёк; в ширину; напротив; через; на другой стороне; напротив; поперёк		
act	xkt	поступок; действие; закон; постановление; акт; действие; действовать; поступать; воздействовать; играть		
acting	'xktIN	игра; исполнение; временно исполняющий обязанности	smb's brilliant acting; the acting director	чья-л. великолепная игра; исполняющий обязанности директора
action	'xkSn	действие; дело; поступок; действие; сражение; иск; дело; функционирование		
activate	'xktIveIt	приводить в действие	this device activates the alarm system	это приспособление включает систему сигнализации
active	'xktIv	активный; деятельный; действующий		
activity	xk'tIvqtI	активность; деятельность		
actor	'xktq	актёр	a character actor; to cast an actor	актёр на характерные роли; дать актёру роль
actress	'xktrIs	актриса		
actual	'xktSǔql	действительный; настоящий		
actually	'xktSǔqlI	в действительности; на самом деле	he is actually 45; actually, I don't like him	
acute	q'kju:t	острый; тонкий; острый; проницательный; острый; резкий; сильный		
AD	.eI'di:	нашей эры		
ad	xd			
ad hoc	.xd'hPk	на данный случай; специальный	an ad hoc committee; an ad hoc decision	специальная комиссия; решение по конкретному вопросу
ad lib	.xd'lIb	без подготовки	to speak/to comment ad lib; to play ad lib	говорить/комментировать экспромтом; импровизировать
adapt	q'dxpt	приспосабливать; адаптировать		
adaptation	.xdqp'teISn	адаптация; инсценировка	a television adaptation of a novel	телевизионная инсценировка романа
add	xd	присоединять; добавлять; складывать		
to add to		увеличивать	to add to smb's difficulties	увеличивать чьи-л. трудности
to add up		складывать; иметь смысл	to add up several numbers; the facts just don't add up	
adder	'xdq	гадюка		
addict	'xdIkt	имеющий пристрастие; наркоман	a drug addict; a TV addict	наркоман; человек, проводящий много времени у телевизора
addicted	q'dIktId	пристрастившийся		
addiction	q'dIkSn			
addition	q'dISn	сложение; добавление		
additional	q'dISqnl	дополнительный; добавочный	additional information; additional expenses	дополнительная информация; дополнительные расходы
address	q'dres	адрес; число; специфицирующее ячейку памяти компьютера; адресовать; обращаться; обращение; выступление		
adduce	q'dju:s	приводить		
adept	'xdept	умелый	to be adept at making up excuses/solving crossword puzzles	очень умело придумывать извинения/решать кроссворды
adequate	'xdIkwqt	адекватный; достаточный		
adhere	qd'hIq	приклеиваться	to make one surface adhere to another	склеить две поверхности
to adhere to		следовать; поддерживать		
adherent	qd'hIqrqnt	приверженец; сторонник	to gain more adherents	приобретать сторонников
adhesive	qd'hi:sIv	клей; клейкий		
adjacent	q'dZeIsqnt	примыкающий; смежный; соседний		
